title,token,url,price_toman,mileage_km,year,age,color,body_status,engine_status,chassis_status,gearbox,fuel_type,insurance,brand_model,airbag,tire_quality
تارا V1پلاس,gaGQzblZ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1%D9%BE%D9%84%D8%A7%D8%B3/gaGQzblZ,2120000000,18000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 اتوماتیک مدل ۱۴۰۳,gaGQDDIK,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B3/gaGQDDIK,2520000000,32000,1403,2,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا صفر  معاوزه  با سمند سو رن,gaGMzFbF,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%B5%D9%81%D8%B1-%D9%85%D8%B9%D8%A7%D9%88%D8%B2%D9%87-%D8%A8%D8%A7-%D8%B3%D9%85%D9%86%D8%AF-%D8%B3%D9%88-%D8%B1%D9%86/gaGMzFbF,2250000000,4000,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 3,نامشخص,نامشخص
تارا اتوماتیک V4 وی فور  مشکی آبنوس,gaG8SJQ5,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-V4-%D9%88%DB%8C-%D9%81%D9%88%D8%B1-%D9%85%D8%B4%DA%A9%DB%8C-%D8%A2%D8%A8%D9%86%D9%88%D8%B3/gaG8SJQ5,2390000000,29000,1403,2,مشکی,صافکاری بی‌رنگ,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتومات v4ال ایکسLx.tu5,gaAwTOdn,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-v4%D8%A7%D9%84-%D8%A7%DB%8C%DA%A9%D8%B3Lx-tu5/gaAwTOdn,2510000000,4140,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v1 ،tu5p خانگی,QawDbXA5,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D8%8Ctu5p-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C/QawDbXA5,1930000000,48000,1402,3,خاکستری,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا دنده‌ای V1,نامشخص,نامشخص
تارا اتومات,gaGISmeR,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaGISmeR,2650000000,0,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تاراv1 پلاس مشکی ابنوس,gaGgBnIT,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7v1-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%B4%DA%A9%DB%8C-%D8%A7%D8%A8%D9%86%D9%88%D8%B3/gaGgBnIT,1999000000,34000,1403,2,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,1,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 پلاس 1403,gaGQxngZ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3-1403/gaGQxngZ,2040000000,30000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا v1 پلاس,نامشخص,نامشخص
تارا V1 پلاس ۶ سرعته خشک مدل ۴۰۳,gaGkA3ZG,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B6-%D8%B3%D8%B1%D8%B9%D8%AA%D9%87-%D8%AE%D8%B4%DA%A9-%D9%85%D8%AF%D9%84-%DB%B4%DB%B0%DB%B3/gaGkA3ZG,2300000000,600,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 پلاس دنده‌ای,gaGAAl26,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C/gaGAAl26,2300000000,7600,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا v1 پلاس,نامشخص,نامشخص
تارا v2اتومات 1402,gaGAQjr-,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v2%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-1402/gaGAQjr-,2300000000,61000,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,3,تارا اتوماتیک V2,نامشخص,نامشخص
تارا اتومات V4 اتومات,Qa0HtOQg,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-V4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/Qa0HtOQg,2380000000,50000,1403,2,سفید,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V2 اتوماتیک مدل 1402 کارشناسی ضمانت کارنامه,Qa8nCE_D,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V2-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-1402-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3%DB%8C-%D8%B6%D9%85%D8%A7%D9%86%D8%AA-%DA%A9%D8%A7%D8%B1%D9%86%D8%A7%D9%85%D9%87/Qa8nCE_D,2340000000,30000,1402,3,خاکستری,صافکاری بی‌رنگ,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,2,تارا اتوماتیک V2,نامشخص,نامشخص
تارا V1پلاس مشکی کم کارکرد زیرقیمت,gaFAvY5-,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%B4%DA%A9%DB%8C-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1%DA%A9%D8%B1%D8%AF-%D8%B2%DB%8C%D8%B1%D9%82%DB%8C%D9%85%D8%AA/gaFAvY5-,2000000000,18100,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا دستی V1 plus,gaF8-2gE,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AF%D8%B3%D8%AA%DB%8C-V1-plus/gaF8-2gE,2150000,3400,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 plus,gaFseuQ1,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-plus/gaFseuQ1,2080000000,19000,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا v1 پلاس,نامشخص,نامشخص
تارا اتوماتیک v4 ۱۴۰۴ فول آپشن صفر*زیر قیمت بازار*,Qa53JgoI,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-v4-%DB%B1%DB%B4%DB%B0%DB%B4-%D9%81%D9%88%D9%84-%D8%A2%D9%BE%D8%B4%D9%86-%D8%B5%D9%81%D8%B1-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1/Qa53JgoI,2570000000,0,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا وی ۴ اتوماتیک فول,QawbUOEh,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D9%88%DB%8C-%DB%B4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%81%D9%88%D9%84/QawbUOEh,2480000000,23000,1403,2,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,2,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک مشکی بدون رنگ بالوازم وبرگه کارشناسی,QazvmgCI,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%D9%85%D8%B4%DA%A9%DB%8C-%D8%A8%D8%AF%D9%88%D9%86-%D8%B1%D9%86%DA%AF-%D8%A8%D8%A7%D9%84%D9%88%D8%A7%D8%B2%D9%85-%D9%88%D8%A8%D8%B1%DA%AF%D9%87-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3%DB%8C/QazvmgCI,2290000000,71000,1402,3,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا اتوماتیک V2,نامشخص,نامشخص
تارا اتومات,QavDILs5,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/QavDILs5,2550000000,1900,1404,1,سفید,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,اتوماتیک,بنزینی,,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v4 اتومات فول 1403 در حد,gaBAbm2N,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D9%81%D9%88%D9%84-1403-%D8%AF%D8%B1-%D8%AD%D8%AF/gaBAbm2N,2560000000,8800,1403,2,سفید صدفی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک v4، سفید ۱۴۰۴,gaFQO3eB,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-v4%D8%8C-%D8%B3%D9%81%DB%8C%D8%AF-%DB%B1%DB%B4%DB%B0%DB%B4/gaFQO3eB,2490000000,1400,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,2,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک V4 LX,gaFQOhRT,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-V4-LX/gaFQOhRT,2580000000,4735,1403,2,تیتانیوم,رنگ‌شدگی در ۱ ناحیه,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V1 پلاس,gaFAe6LR,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V1-%D9%BE%D9%84%D8%A7%D8%B3/gaFAe6LR,2300000000,0,1405,0,سفید,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,,بنزینی,,تارا دنده‌ای V1,نامشخص,نامشخص
تارا v1 پلاس,Qayvzmbn,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3/Qayvzmbn,2130000000,7000,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا دنده‌ای V1,نامشخص,نامشخص
تاراv2 وی ۲ اتومات,gaFwt9UM,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7v2-%D9%88%DB%8C-%DB%B2-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaFwt9UM,2170000000,74000,1402,3,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,3,تارا اتوماتیک V2,نامشخص,نامشخص
تارا v4 اتوماتیک ۱۴۰۵,gaF88NZ-,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-%DB%B1%DB%B4%DB%B0%DB%B5/gaF88NZ-,2750000000,1,1405,0,مشکی,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,,بنزینی,,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v4 مدل ۱۴۰۴ کارکرد ۴۵۰۰,gaF0cZdA,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4-%DA%A9%D8%A7%D8%B1%DA%A9%D8%B1%D8%AF-%DB%B4%DB%B5%DB%B0%DB%B0/gaF0cZdA,2610000000,4800,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا دنده ای مدل ۱۴۰۲,Qa_vECfs,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B2/Qa_vECfs,1900000000,65000,1402,3,نقره‌ای,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا دنده‌ای V1,نامشخص,نامشخص
تارا v1 دنده ای,Qa5XNGtZ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C/Qa5XNGtZ,1750000000,60000,1402,3,سفید,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا دنده‌ای V1,نامشخص,نو
تارا ۱۴۰۵ . صفر . پنج هزار,gaFscODV,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B1%DB%B4%DB%B0%DB%B5-%D8%B5%D9%81%D8%B1-%D9%BE%D9%86%D8%AC-%D9%87%D8%B2%D8%A7%D8%B1/gaFscODV,2200000000,5000,1405,0,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا دنده‌ای V1,نامشخص,نامشخص
تارا v1 پلاس فول ( معاوضه با دنا توربو اتومات ),gaEE5zqS,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3-%D9%81%D9%88%D9%84-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87-%D8%A8%D8%A7-%D8%AF%D9%86%D8%A7-%D8%AA%D9%88%D8%B1%D8%A8%D9%88-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaEE5zqS,2060000000,31500,1402,3,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا عروسک,gaFo8hFL,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%B9%D8%B1%D9%88%D8%B3%DA%A9/gaFo8hFL,2600000000,30000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
فروش خودرو تارا فول,gaFoslRN,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%AA%D8%A7%D8%B1%D8%A7-%D9%81%D9%88%D9%84/gaFoslRN,2840000000,12000,1404,1,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تعویض تارا V1پلاس مدل 1405 صفر با v4 مدل 1405 صفر,gaFgcMq8,https://divar.ir/v/%D8%AA%D8%B9%D9%88%DB%8C%D8%B6-%D8%AA%D8%A7%D8%B1%D8%A7-V1%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-1405-%D8%B5%D9%81%D8%B1-%D8%A8%D8%A7-v4-%D9%85%D8%AF%D9%84-1405-%D8%B5%D9%81%D8%B1/gaFgcMq8,2200000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تاراv1 پلاس ۶ سرعته ارتقا فول درحد صفر,gaFgMQbj,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7v1-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B6-%D8%B3%D8%B1%D8%B9%D8%AA%D9%87-%D8%A7%D8%B1%D8%AA%D9%82%D8%A7-%D9%81%D9%88%D9%84-%D8%AF%D8%B1%D8%AD%D8%AF-%D8%B5%D9%81%D8%B1/gaFgMQbj,2000000000,50000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا v1 پلاس,نامشخص,نامشخص
تارا V4 اتومات فول آپشن,gaA8d1Qb,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D9%81%D9%88%D9%84-%D8%A2%D9%BE%D8%B4%D9%86/gaA8d1Qb,2650000000,2700,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,9,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
خودرو تارا  v1پلاس,Qa4nPL-P,https://divar.ir/v/%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%AA%D8%A7%D8%B1%D8%A7-v1%D9%BE%D9%84%D8%A7%D8%B3/Qa4nPL-P,2100000000,24000,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا v1 پلاس,نامشخص,نامشخص
تارا وی ۴ اتومات مدل ۴۰۲ نقدو اقساط,Qa4XIQs-,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D9%88%DB%8C-%DB%B4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D9%85%D8%AF%D9%84-%DB%B4%DB%B0%DB%B2-%D9%86%D9%82%D8%AF%D9%88-%D8%A7%D9%82%D8%B3%D8%A7%D8%B7/Qa4XIQs-,2400000000,12000,1402,3,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا اتوماتیک V2 مدل ۱۴۰۳,gaF0bkjS,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-V2-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B3/gaF0bkjS,2360000000,30000,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا اتوماتیک V2,نامشخص,نامشخص
تارا اتومات 401 v2,gaF4rGl5,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-401-v2/gaF4rGl5,2095000000,100000,1401,4,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا اتوماتیک V2,نامشخص,نامشخص
تارا ۶ دنده ۱۴۰۴,gaF07Rr0,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B6-%D8%AF%D9%86%D8%AF%D9%87-%DB%B1%DB%B4%DB%B0%DB%B4/gaF07Rr0,2005000000,11000,1404,1,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 اتومات,gaDo2zTn,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaDo2zTn,2450000000,43000,1403,2,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,3,تارا وی 4 ال ایکس TU5P,نامشخص,نو
اتومبیل تارا,gaFgbpAm,https://divar.ir/v/%D8%A7%D8%AA%D9%88%D9%85%D8%A8%DB%8C%D9%84-%D8%AA%D8%A7%D8%B1%D8%A7/gaFgbpAm,2070000000,77000,1401,4,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا اتوماتیک V2,نامشخص,نامشخص
تارا V4وی۴ جدید صفر 1405 اتومات توربو EF7p tc شخصی,gaFUbIYJ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4%D9%88%DB%8C%DB%B4-%D8%AC%D8%AF%DB%8C%D8%AF-%D8%B5%D9%81%D8%B1-1405-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%D8%AA%D9%88%D8%B1%D8%A8%D9%88-EF7p-tc-%D8%B4%D8%AE%D8%B5%DB%8C/gaFUbIYJ,3190000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v4 توربو EF7P,نامشخص,نامشخص
اگهی تارا اتومات,gaDAxFzD,https://divar.ir/v/%D8%A7%DA%AF%D9%87%DB%8C-%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA/gaDAxFzD,2300000000,40000,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا اتوماتیک V2,نامشخص,نامشخص
تارا V4,gaFQbTUP,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4/gaFQbTUP,2610000000,3000,1404,1,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V4 LX مدل ۱۴۰۳,Qazn051-,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4-LX-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B3/Qazn051-,2500000000,30000,1403,2,مشکی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,7,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا دنده,gaFEb1IR,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AF%D9%86%D8%AF%D9%87/gaFEb1IR,2270000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تارا اتومات v4 گارانتی شخصی بیمه بدنه,gaF867LJ,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-v4-%DA%AF%D8%A7%D8%B1%D8%A7%D9%86%D8%AA%DB%8C-%D8%B4%D8%AE%D8%B5%DB%8C-%D8%A8%DB%8C%D9%85%D9%87-%D8%A8%D8%AF%D9%86%D9%87/gaF867LJ,2445000000,40000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,6,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تاراV1 پلاس ۱۴۰۵ کارکرد ۲۱۹۰,gaBYmzoR,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7V1-%D9%BE%D9%84%D8%A7%D8%B3-%DB%B1%DB%B4%DB%B0%DB%B5-%DA%A9%D8%A7%D8%B1%DA%A9%D8%B1%D8%AF-%DB%B2%DB%B1%DB%B9%DB%B0/gaBYmzoR,2180000000,2190,1405,0,تیتانیوم,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تارا v2 . ۱۴۰۳,Qa_P1ng-,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v2-%DB%B1%DB%B4%DB%B0%DB%B3/Qa_P1ng-,2270000000,28600,1403,2,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,1,تارا اتوماتیک V2,نامشخص,نامشخص
تارا ‌v4 اتومات tu5plus,Qa_jRXhq,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-tu5plus/Qa_jRXhq,2580000000,7000,1404,1,سفید صدفی,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 4 ال ایکس TU5P,دارد,نامشخص
تارا دنده ای کم کارکرد و مشابه صفر,gaFk6LoP,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%AF%D9%86%D8%AF%D9%87-%D8%A7%DB%8C-%DA%A9%D9%85-%DA%A9%D8%A7%D8%B1%DA%A9%D8%B1%D8%AF-%D9%88-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D8%B5%D9%81%D8%B1/gaFk6LoP,2005000000,15000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,3,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 اتومات ۱۴۰۴,gaEEXN1n,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%DB%B1%DB%B4%DB%B0%DB%B4/gaEEXN1n,2400000000,23000,1404,1,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,11,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا ۱۴۰۵ صفر سفید,gaBwcwHx,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B1%DB%B4%DB%B0%DB%B5-%D8%B5%D9%81%D8%B1-%D8%B3%D9%81%DB%8C%D8%AF/gaBwcwHx,2740000000,0,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
